Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2017.11.22_10.08.22,-8.500517,51.894671,0,A,2,LTE,-117,-14,5,6,-94,3019,56,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.24,-8.500517,51.894671,0,A,2,LTE,-117,-14,5,6,-94,1442,57,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.25,-8.500517,51.894671,0,A,2,LTE,-118,-13,6,6,-94,2057,62,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.26,-8.500517,51.894671,0,A,2,LTE,-118,-13,6,6,-94,1565,32,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.27,-8.500517,51.894671,0,A,2,LTE,-118,-13,5,6,-94,2717,50,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.28,-8.500517,51.894671,0,A,2,LTE,-118,-13,5,6,-94,1778,33,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.29,-8.500517,51.894671,0,A,2,LTE,-118,-13,4,6,-94,1073,22,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.30,-8.500517,51.894671,0,A,2,LTE,-118,-13,4,6,-94,2952,54,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.31,-8.500517,51.894671,0,A,2,LTE,-117,-13,5,6,-94,2091,39,D,-131,-20,-8.491719,51.893905,609.7
2017.11.22_10.08.32,-8.500517,51.894671,0,A,2,LTE,-117,-13,5,6,-94,2527,47,D,-131,-20,-8.491719,51.893905,609.7
2017.11.22_10.08.33,-8.500517,51.894671,0,A,2,LTE,-119,-13,5,6,-94,3142,58,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.35,-8.500517,51.894671,0,A,2,LTE,-119,-13,5,6,-94,4003,75,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.36,-8.500517,51.894671,0,A,2,LTE,-117,-13,5,6,-94,894,22,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.37,-8.500517,51.894671,0,A,2,LTE,-117,-13,5,6,-94,1353,73,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.38,-8.500517,51.894671,0,A,2,LTE,-117,-13,4,6,-94,2438,118,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.39,-8.500517,51.894671,0,A,2,LTE,-117,-13,4,6,-94,1252,57,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.40,-8.500517,51.894671,0,A,2,LTE,-116,-13,5,9,-94,2124,108,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.41,-8.500517,51.894671,0,A,2,LTE,-116,-13,5,9,-94,2639,52,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.42,-8.500517,51.894671,0,A,2,LTE,-117,-13,5,9,-94,1979,92,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.44,-8.500517,51.894671,0,A,2,LTE,-117,-13,5,9,-94,3433,94,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.45,-8.500517,51.894671,0,A,2,LTE,-117,-13,6,9,-94,3780,104,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.46,-8.500517,51.894671,0,A,2,LTE,-117,-13,6,9,-94,4652,131,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.47,-8.500517,51.894671,0,A,2,LTE,-117,-12,5,9,-94,1990,39,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.48,-8.500517,51.894671,0,A,2,LTE,-117,-12,5,9,-94,2484,48,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.49,-8.500517,51.894671,0,A,2,LTE,-118,-13,5,9,-94,1588,30,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.50,-8.500517,51.894671,0,A,2,LTE,-118,-13,5,9,-94,3086,91,D,-,-,-8.491719,51.893905,609.7
